,creepsPerMinDeltas,goldPerMinDeltas,xpPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas
1,8.6,303.5,312.1,0,0
2,7.1,243.6,443.5,-0.2,-36.9
3,7.6,286.1,452.2,0,0
4,0.2,287.3,354,0,82.3
5,1.1,150.9,277.2,0,0
6,0.2,266.6,271.7,0,-82.3
7,7.3,335,480.4,0.2,36.9
8,8.9,289.7,285.1,0,0
9,7.5,248.3,431,0,0
10,1.2,156.9,261,0,0
11,2.1,203.1,230.7,-1,-54.55
12,6.9,319.9,397.9,-0.2,-57.9
13,0.9,314.3,303.6,0.6,-37.8
14,4.8,282.2,258,-1,-54.55
15,8.1,301.2,435.4,1.4,-27.4
16,0.3,330.5,341.4,-0.6,37.8
17,6.7,267.6,462.8,-1.4,27.4
18,1.5,298.4,251.7,1,54.55
19,7.4,429.3,346.1,1,54.55
20,7.1,357.7,455.8,0.2,57.9
21,5.2,239.7,364.7,-0.34,-20.04
22,7.9,350,323.7,-0.34,-20.04
23,4.4,279.2,330.6,-0.34,-20.04
24,2.4,396.4,416.3,-0.34,-20.04
25,1.2,210.3,271.9,-0.34,-20.04
26,6.9,380.2,450.1,0.34,20.04
27,7.1,272.9,366.4,0.34,20.04
28,1.6,189.3,229.1,0.34,20.04
29,0.7,406.4,379.9,0.34,20.04
30,6.5,351.9,381.9,0.34,20.04
31,8.6,355.4,462.7,1.4,-50.2
32,1.5,201.9,245.4,0.1,-34.1
33,0.6,401.1,329.1,-0.8,-116.8
34,7,253.6,289,0.1,-34.1
35,8.2,315.4,445.5,1.9,27.1
36,7.2,271,512.9,-1.4,50.2
37,1.1,206.5,276.8,-0.1,34.1
38,6.3,328.7,418.4,-1.9,-27.1
39,1.4,372.4,445.9,0.8,116.8
40,7.2,425.1,325.8,-0.1,34.1
41,0.3,352.4,379.9,-0.4,39.3
42,1.3,186,245.9,-0.2,3
43,4.3,191.7,287.5,0,0
44,6.9,368.2,326.5,-0.2,3
45,9.3,347.3,552.7,0,0
46,7.2,331.5,313.7,0.2,-3
47,8.7,335.3,486.6,0,0
48,1.4,193.7,252.7,0.2,-3
49,0.7,355.8,340.6,0.4,-39.3
50,8.4,425.1,485.3,0,0
51,1.4,173,259,0.1,15.36
52,5.9,283.5,389.6,0.1,15.36
53,0.8,306.4,358.2,0.1,15.36
54,7.7,279.8,459.2,0.1,15.36
55,8.6,347.9,397.6,0.1,15.36
56,7.8,342,449.9,-0.1,-15.36
57,7.1,243.4,309,-0.1,-15.36
58,1.4,156.4,190.1,-0.1,-15.36
59,7.2,266,426,-0.1,-15.36
60,0.4,350.6,411.8,-0.1,-15.36
61,7.3,319.6,420.1,-0.12,-30.78
62,0.2,360.7,331.5,-0.12,-30.78
63,9.2,305.9,486.9,-0.12,-30.78
64,4.7,244.5,293.7,-0.12,-30.78
65,1.2,163.3,199.5,-0.12,-30.78
66,1.1,186.8,252.7,0.12,30.78
67,6.5,230.6,365.4,0.12,30.78
68,7.5,370.2,298.3,0.12,30.78
69,0.2,383.5,469.7,0.12,30.78
70,7.9,268.4,499.5,0.12,30.78
71,0,330.1,310.4,0.48,28.6
72,1.8,192.6,270.2,0.48,28.6
73,6.7,307.3,430,0.48,28.6
74,8.1,333.8,331.4,0.48,28.6
75,8.6,335.7,551.2,0.48,28.6
76,5.8,214,391.9,-0.48,-28.6
77,7.1,277.2,316.9,-0.48,-28.6
78,1.8,197.8,239.3,-0.48,-28.6
79,0.4,258.3,336,-0.48,-28.6
80,7.7,367.1,466.1,-0.48,-28.6
81,7.4,257.5,281.4,-0.84,-58.32
82,4.6,275.2,352.6,-0.84,-58.32
83,1.1,155.7,270.1,-0.84,-58.32
84,7.4,277.3,434.9,-0.84,-58.32
85,0.1,255.8,330.5,-0.84,-58.32
86,7.4,311,463.9,0.84,58.32
87,1.4,202.5,284.5,0.84,58.32
88,8.3,306.9,330.1,0.84,58.32
89,0.2,306.3,351,0.84,58.32
90,7.5,442.5,531.6,0.84,58.32
91,6.5,297,463.8,0,0
92,0,394.8,394,-1,33.4
